######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
167773   81.77500           1.0            0.074770       W                        Sherpa_CT10_WmunuMassiveCBPt140_280_BFilter                        
167774   81.81300           1.0            0.249810       W                        Sherpa_CT10_WmunuMassiveCBPt140_280_CJetFilterBVeto                
167775   81.92500           1.0            0.676400       W                        Sherpa_CT10_WmunuMassiveCBPt140_280_CJetVetoBVeto                  
167782   6.218800           1.0            0.097362       W                        Sherpa_CT10_WmunuMassiveCBPt280_500_BFilter                        
167783   6.227700           1.0            0.266440       W                        Sherpa_CT10_WmunuMassiveCBPt280_500_CJetFilterBVeto                
167784   6.227100           1.0            0.635200       W                        Sherpa_CT10_WmunuMassiveCBPt280_500_CJetVetoBVeto                  
167791   0.514910           1.0            0.118320       W                        Sherpa_CT10_WmunuMassiveCBPt500_BFilter                            
167792   0.513250           1.0            0.279510       W                        Sherpa_CT10_WmunuMassiveCBPt500_CJetFilterBVeto                    
167793   0.513040           1.0            0.602740       W                        Sherpa_CT10_WmunuMassiveCBPt500_CJetVetoBVeto                      
167746   18795.00           1.0            0.017808       W                        Sherpa_CT10_WtaunuMassiveCBPt0_BFilter                             
167747   18808.00           1.0            0.059685       W                        Sherpa_CT10_WtaunuMassiveCBPt0_CJetFilterBVeto                     
167748   18800.00           1.0            0.922530       W                        Sherpa_CT10_WtaunuMassiveCBPt0_CJetVetoBVeto                       
180540   1316.100           1.0            0.041483       W                        Sherpa_CT10_WtaunuMassiveCBPt40_70_BFilter                         
180541   1314.200           1.0            0.188860       W                        Sherpa_CT10_WtaunuMassiveCBPt40_70_CJetFilterBVeto                 
180542   1314.400           1.0            0.769100       W                        Sherpa_CT10_WtaunuMassiveCBPt40_70_CJetVetoBVeto                   
167767   557.9200           1.0            0.054733       W                        Sherpa_CT10_WtaunuMassiveCBPt70_140_BFilter                        
167768   557.6800           1.0            0.224050       W                        Sherpa_CT10_WtaunuMassiveCBPt70_140_CJetFilterBVeto                
167769   558.5900           1.0            0.719920       W                        Sherpa_CT10_WtaunuMassiveCBPt70_140_CJetVetoBVeto                  
167776   81.86700           1.0            0.074564       W                        Sherpa_CT10_WtaunuMassiveCBPt140_280_BFilter                       
167777   81.70000           1.0            0.252770       W                        Sherpa_CT10_WtaunuMassiveCBPt140_280_CJetFilterBVeto               
167778   81.76800           1.0            0.673230       W                        Sherpa_CT10_WtaunuMassiveCBPt140_280_CJetVetoBVeto                 
167785   6.223500           1.0            0.097445       W                        Sherpa_CT10_WtaunuMassiveCBPt280_500_BFilter                       
167786   6.231100           1.0            0.271420       W                        Sherpa_CT10_WtaunuMassiveCBPt280_500_CJetFilterBVeto               
167787   6.311600           1.0            0.631160       W                        Sherpa_CT10_WtaunuMassiveCBPt280_500_CJetVetoBVeto                 
167794   0.516910           1.0            0.118720       W                        Sherpa_CT10_WtaunuMassiveCBPt500_BFilter                           
167795   0.513620           1.0            0.291080       W                        Sherpa_CT10_WtaunuMassiveCBPt500_CJetFilterBVeto                   
167796   0.514460           1.0            0.599840       W                        Sherpa_CT10_WtaunuMassiveCBPt500_CJetVetoBVeto                     
#old Sherpa v?? Z+jets
167749   1928.900           1.0            0.038075       Z                        Sherpa_CT10_ZeeMassiveCBPt0_BFilter                                
167750   1926.800           1.0            0.328280       Z                        Sherpa_CT10_ZeeMassiveCBPt0_CFilterBVeto                           
167751   1938.800           1.0            0.635740       Z                        Sherpa_CT10_ZeeMassiveCBPt0_CVetoBVeto                             
167797   66.74900           1.0            0.101720       Z                        Sherpa_CT10_ZeeMassiveCBPt70_140_BFilter                           
167798   66.83200           1.0            0.393720       Z                        Sherpa_CT10_ZeeMassiveCBPt70_140_CFilterBVeto                      
167799   66.79000           1.0            0.504790       Z                        Sherpa_CT10_ZeeMassiveCBPt70_140_CVetoBVeto                        
167809   10.63600           1.0            0.117830       Z                        Sherpa_CT10_ZeeMassiveCBPt140_280_BFilter                          
167810   10.62100           1.0            0.407440       Z                        Sherpa_CT10_ZeeMassiveCBPt140_280_CFilterBVeto                     
167811   10.61700           1.0            0.472780       Z                        Sherpa_CT10_ZeeMassiveCBPt140_280_CVetoBVeto                       
167821   0.830570           1.0            0.133510       Z                        Sherpa_CT10_ZeeMassiveCBPt280_500_BFilter                          
167822   0.834980           1.0            0.422930       Z                        Sherpa_CT10_ZeeMassiveCBPt280_500_CFilterBVeto                     
167823   0.832560           1.0            0.445420       Z                        Sherpa_CT10_ZeeMassiveCBPt280_500_CVetoBVeto                       
167833   0.068370           1.0            0.145610       Z                        Sherpa_CT10_ZeeMassiveCBPt500_BFilter                              
167834   0.068450           1.0            0.434080       Z                        Sherpa_CT10_ZeeMassiveCBPt500_CFilterBVeto                         
167835   0.068500           1.0            0.419060       Z                        Sherpa_CT10_ZeeMassiveCBPt500_CVetoBVeto                           
167752   1929.900           1.0            0.038283       Z                        Sherpa_CT10_ZmumuMassiveCBPt0_BFilter                              
167753   1927.000           1.0            0.326470       Z                        Sherpa_CT10_ZmumuMassiveCBPt0_CFilterBVeto                         
167754   1936.400           1.0            0.635750       Z                        Sherpa_CT10_ZmumuMassiveCBPt0_CVetoBVeto                           
167800   66.74400           1.0            0.101500       Z                        Sherpa_CT10_ZmumuMassiveCBPt70_140_BFilter                         
167801   66.62700           1.0            0.394770       Z                        Sherpa_CT10_ZmumuMassiveCBPt70_140_CFilterBVeto                    
167802   66.90900           1.0            0.505630       Z                        Sherpa_CT10_ZmumuMassiveCBPt70_140_CVetoBVeto                      
167812   10.62900           1.0            0.118180       Z                        Sherpa_CT10_ZmumuMassiveCBPt140_280_BFilter                        
167813   10.65000           1.0            0.410700       Z                        Sherpa_CT10_ZmumuMassiveCBPt140_280_CFilterBVeto                   
167814   10.67500           1.0            0.475540       Z                        Sherpa_CT10_ZmumuMassiveCBPt140_280_CVetoBVeto                     
167824   0.830950           1.0            0.132860       Z                        Sherpa_CT10_ZmumuMassiveCBPt280_500_BFilter                        
167825   0.832110           1.0            0.424980       Z                        Sherpa_CT10_ZmumuMassiveCBPt280_500_CFilterBVeto                   
167826   0.835080           1.0            0.444700       Z                        Sherpa_CT10_ZmumuMassiveCBPt280_500_CVetoBVeto                     
167836   0.068310           1.0            0.143770       Z                        Sherpa_CT10_ZmumuMassiveCBPt500_BFilter                            
167837   0.069010           1.0            0.440960       Z                        Sherpa_CT10_ZmumuMassiveCBPt500_CFilterBVeto                       
